example_id                                                   | status | run_time        |
./spec/models/finding_spec.rb[1:1:1]                         | passed | 0.00283 seconds |
./spec/models/finding_spec.rb[1:1:2]                         | passed | 0.00265 seconds |
./spec/models/finding_spec.rb[1:1:3]                         | passed | 0.00281 seconds |
./spec/models/finding_spec.rb[1:1:4]                         | passed | 0.00331 seconds |
./spec/models/finding_spec.rb[1:2:1]                         | passed | 0.00153 seconds |
./spec/models/finding_spec.rb[1:3:1]                         | passed | 0.00608 seconds |
./spec/models/finding_spec.rb[1:4:1]                         | passed | 0.73931 seconds |
./spec/models/finding_spec.rb[1:5:1]                         | passed | 0.00405 seconds |
./spec/models/scan_profile_spec.rb[1:1:1]                    | passed | 0.00045 seconds |
./spec/models/scan_profile_spec.rb[1:1:2]                    | passed | 0.00013 seconds |
./spec/models/scan_profile_spec.rb[1:1:3]                    | passed | 0.00043 seconds |
./spec/models/scan_profile_spec.rb[1:2:1]                    | passed | 0.00022 seconds |
./spec/models/scan_profile_spec.rb[1:2:2]                    | passed | 0.00092 seconds |
./spec/models/scan_profile_spec.rb[1:3:1]                    | passed | 0.00034 seconds |
./spec/models/scan_profile_spec.rb[1:3:2]                    | passed | 0.0003 seconds  |
./spec/models/scan_profile_spec.rb[1:3:3]                    | passed | 0.0003 seconds  |
./spec/models/scan_profile_spec.rb[1:4:1]                    | passed | 0.00077 seconds |
./spec/models/scan_profile_spec.rb[1:5:1]                    | passed | 0.0004 seconds  |
./spec/models/scan_profile_spec.rb[1:5:2]                    | passed | 0.00008 seconds |
./spec/models/scan_profile_spec.rb[1:5:3]                    | passed | 0.00007 seconds |
./spec/models/scan_profile_spec.rb[1:5:4]                    | passed | 0.00009 seconds |
./spec/models/scan_profile_spec.rb[1:5:5]                    | passed | 0.0001 seconds  |
./spec/models/scan_profile_spec.rb[1:5:6]                    | passed | 0.00011 seconds |
./spec/models/scan_spec.rb[1:1:1]                            | passed | 0.00122 seconds |
./spec/models/scan_spec.rb[1:1:2]                            | passed | 0.00115 seconds |
./spec/models/scan_spec.rb[1:2:1]                            | passed | 0.00008 seconds |
./spec/models/scan_spec.rb[1:2:2]                            | passed | 0.00012 seconds |
./spec/models/scan_spec.rb[1:3:1]                            | passed | 0.00074 seconds |
./spec/models/scan_spec.rb[1:3:2]                            | passed | 0.00153 seconds |
./spec/models/scan_spec.rb[1:4:1]                            | passed | 0.00621 seconds |
./spec/models/scan_spec.rb[1:5:1]                            | passed | 0.01379 seconds |
./spec/models/target_spec.rb[1:1:1]                          | passed | 0.00035 seconds |
./spec/models/target_spec.rb[1:1:2]                          | passed | 0.0002 seconds  |
./spec/models/target_spec.rb[1:1:3]                          | passed | 0.0002 seconds  |
./spec/models/target_spec.rb[1:1:4]                          | passed | 0.00033 seconds |
./spec/models/target_spec.rb[1:1:5]                          | passed | 0.00024 seconds |
./spec/models/target_spec.rb[1:1:6]                          | passed | 0.00025 seconds |
./spec/models/target_spec.rb[1:2:1]                          | passed | 0.00009 seconds |
./spec/models/target_spec.rb[1:3:1]                          | passed | 0.00086 seconds |
./spec/models/target_spec.rb[1:4:1]                          | passed | 0.00079 seconds |
./spec/models/target_spec.rb[1:4:2]                          | passed | 0.0003 seconds  |
./spec/models/target_spec.rb[1:5:1]                          | passed | 0.00017 seconds |
./spec/models/target_spec.rb[1:5:2]                          | passed | 0.00018 seconds |
./spec/models/target_spec.rb[1:6:1]                          | passed | 0.00165 seconds |
./spec/penetrator_boot_spec.rb[1:1:1]                        | passed | 0.00006 seconds |
./spec/penetrator_boot_spec.rb[1:2:1]                        | passed | 0.00012 seconds |
./spec/penetrator_boot_spec.rb[1:3:1]                        | passed | 0.00007 seconds |
./spec/penetrator_boot_spec.rb[1:4:1]                        | passed | 0.00007 seconds |
./spec/penetrator_boot_spec.rb[1:4:2]                        | passed | 0.00014 seconds |
./spec/penetrator_boot_spec.rb[1:4:3]                        | passed | 0.00012 seconds |
./spec/penetrator_boot_spec.rb[1:4:4]                        | passed | 0.0002 seconds  |
./spec/services/audit_logger_spec.rb[1:1:1]                  | passed | 0.004 seconds   |
./spec/services/audit_logger_spec.rb[1:1:2]                  | passed | 0.00332 seconds |
./spec/services/audit_logger_spec.rb[1:1:3]                  | passed | 0.00406 seconds |
./spec/services/audit_logger_spec.rb[1:1:4]                  | passed | 0.00352 seconds |
./spec/services/audit_logger_spec.rb[1:2:1]                  | passed | 0.00313 seconds |
./spec/services/audit_logger_spec.rb[1:3:1]                  | passed | 0.00325 seconds |
./spec/services/audit_logger_spec.rb[1:4:1]                  | passed | 0.00352 seconds |
./spec/services/audit_logger_spec.rb[1:4:2]                  | passed | 0.00328 seconds |
./spec/services/audit_logger_spec.rb[1:5:1]                  | passed | 0.00517 seconds |
./spec/services/audit_logger_spec.rb[1:6:1]                  | passed | 0.0052 seconds  |
./spec/services/big_query_logger_spec.rb[1:1:1]              | passed | 0.00016 seconds |
./spec/services/big_query_logger_spec.rb[1:1:2]              | passed | 0.00019 seconds |
./spec/services/big_query_logger_spec.rb[1:2:1]              | passed | 0.0007 seconds  |
./spec/services/big_query_logger_spec.rb[1:2:2]              | passed | 0.00108 seconds |
./spec/services/big_query_logger_spec.rb[1:2:3]              | passed | 0.00078 seconds |
./spec/services/big_query_logger_spec.rb[1:2:4]              | passed | 0.00087 seconds |
./spec/services/big_query_logger_spec.rb[1:2:5]              | passed | 0.00073 seconds |
./spec/services/big_query_logger_spec.rb[1:2:6]              | passed | 0.00058 seconds |
./spec/services/big_query_logger_spec.rb[1:2:7]              | passed | 0.00053 seconds |
./spec/services/big_query_logger_spec.rb[1:3:1]              | passed | 0.00221 seconds |
./spec/services/big_query_logger_spec.rb[1:3:2]              | passed | 0.00338 seconds |
./spec/services/big_query_logger_spec.rb[1:3:3]              | passed | 0.00272 seconds |
